Speed       , Steering , IsWin, DistanceX   , DistanceY    , PosX       , PosY         , VelocityX    , VelocityY    , Angle        , AngularVelocity
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.291053E-09 , 2.664535E-15 , 1.949098E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.530371E-09 , 0            , 1.948077E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.844588E-09 , 0            , 1.947331E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.563583E-09 , 1.776357E-15 , 1.947266E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.32997E-09  , -1.776357E-15, 1.946892E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.333606E-09 , -1.776357E-15, 1.947321E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.946674E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.91457E-09  , 0            , 1.94848E-05  , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.44144E-09  , 0            , 1.947494E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.967624E-09 , 0            , 1.949279E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.724362E-09 , 1.776357E-15 , 1.949149E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.461477E-09 , -1.776357E-15, 1.948722E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.402993E-09 , -1.776357E-15, 1.949124E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 8.016427E-09 , 1.776357E-15 , 1.948473E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.965248E-09 , -1.776357E-15, 1.948246E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.413035E-09 , -1.776361E-15, 1.947675E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -8.34409E-09 , -1.50838E-15 , 1.948452E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.431118E-09, -1.490116E-08, 1.949831E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 9.111318E-09 , 2.820409E-15 , 1.948739E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.189663E-09 , -7.105432E-15, 1.947453E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -7.390197E-09, -1.67511E-15 , 1.950426E-05 , 0
1           , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -7.515281E-09, 7.450584E-09 , 1.950869E-05 , 0
1.1         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -9.064456E-10, 1.490116E-08 , 1.948652E-05 , 0
1.2         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 9.518311E-09 , 7.450582E-09 , 1.947396E-05 , 0
1.2         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.210408E-09 , 1.490116E-08 , 1.949084E-05 , 0
1.3         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -6.098766E-09, 1.490116E-08 , 1.948957E-05 , 0
1.3         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -3.424445E-09, 7.450582E-09 , 1.950333E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -6.357978E-09, 7.450579E-09 , 1.95031E-05  , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , -1.933662E-10, 2.298737E-15 , 1.950386E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.783843E-09 , -6.630535E-16, 1.94886E-05  , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.938226E-09 , 9.520663E-17 , 1.948241E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 6.629663E-09 , -7.450582E-09, 1.948148E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 0            , 0            , 1.949297E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.877505E-09 , -7.450578E-09, 1.947733E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.051551E-09 , -7.450581E-09, 1.948277E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.068283E-09 , -7.450581E-09, 1.949216E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.041187E-09 , -7.450581E-09, 1.948391E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.961173E-09 , -7.45058E-09 , 1.949776E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.508739E-09 , -7.450581E-09, 1.948764E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 1.390998E-09 , -7.450581E-09, 1.948201E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 2.210054E-10 , -7.450581E-09, 1.948109E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.549102E-09 , 1.408962E-15 , 1.949258E-05 , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 7.313092E-09 , 2.047066E-16 , 1.94889E-05  , 0
1.4         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.963692E-09 , -7.450582E-09, 1.949066E-05 , 0
1.6         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 3.07661E-09  , -7.450581E-09, 1.947825E-05 , 0
1.6         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 5.248208E-09 , -2.5245E-16  , 1.948289E-05 , 0
1.7         , 0        , 0    , -23.45332   , 0.5126972    , -5.646682  , -3.549627    , 4.833081E-09 , -8.881739E-16, 1.94892E-05  , 0
